Cycle,Folder,Force_N,Force_mN,Mean_LSB,Std_LSB,Zero_Mean_LSB,Delta_S_LSB,Abs_Delta_S_LSB
cycle6,3,0.2,200.0,-230.41661613098847,315.3919687036526,-5.098168498168498,-225.31844763281998,225.31844763281998
cycle6,4,0.5,500.0,-578.0627705627705,4.130040921776537,-5.098168498168498,-572.964602064602,572.964602064602
cycle7,0,0.0,0.0,-4.917948717948718,1.2638703347949403,-4.917948717948718,0.0,0.0
cycle7,1,0.05,50.0,-70.23282967032966,1.738599733157764,-4.917948717948718,-65.31488095238095,65.31488095238095
cycle7,2,0.1,100.0,-114.38830667402095,2.0663166541386304,-4.917948717948718,-109.47035795607223,109.47035795607223
cycle7,3,0.2,200.0,-221.73317161916313,315.39933328880784,-4.917948717948718,-216.8152229012144,216.8152229012144
cycle7,4,0.5,500.0,-567.0492424242424,4.131076446145112,-4.917948717948718,-562.1312937062937,562.1312937062937
cycle8,0,0.0,0.0,-4.941391941391942,1.246494014402346,-4.941391941391942,0.0,0.0
cycle8,1,0.05,50.0,-71.98489010989012,1.772967609966822,-4.941391941391942,-67.04349816849818,67.04349816849818
cycle8,2,0.1,100.0,-118.32984004412576,2.0649973212748742,-4.941391941391942,-113.38844810273382,113.38844810273382
cycle8,3,0.2,200.0,-230.6682838083687,315.39789705316707,-4.941391941391942,-225.72689186697676,225.72689186697676
cycle8,4,0.5,500.0,-580.6260822510823,4.1161153328598985,-4.941391941391942,-575.6846903096903,575.6846903096903
cycle9,0,0.0,0.0,-4.934798534798535,1.2411555340979221,-4.934798534798535,0.0,0.0
cycle9,1,0.05,50.0,-70.2239010989011,1.7411550145560182,-4.934798534798535,-65.28910256410256,65.28910256410256
cycle9,2,0.1,100.0,-115.83397683397683,2.010324760842051,-4.934798534798535,-110.8991782991783,110.8991782991783
cycle9,3,0.2,200.0,-225.76773802304427,315.40024468424684,-4.934798534798535,-220.83293948824573,220.83293948824573
cycle9,4,0.5,500.0,-571.8154761904761,4.109892550135743,-4.934798534798535,-566.8806776556776,566.8806776556776
cycle10,0,0.0,0.0,-4.874725274725274,1.2629325199064514,-4.874725274725274,0.0,0.0
cycle10,1,0.05,50.0,-70.7657967032967,1.7952087197998683,-4.874725274725274,-65.89107142857142,65.89107142857142
cycle10,2,0.1,100.0,-116.87093215664645,2.0290111833748186,-4.874725274725274,-111.99620688192117,111.99620688192117
cycle10,3,0.2,200.0,-227.31412977562158,315.4143226803871,-4.874725274725274,-222.4394045008963,222.4394045008963
cycle10,4,0.5,500.0,-576.8014069264069,4.105809289271162,-4.874725274725274,-571.9266816516816,571.9266816516816
