rank,trial_id,split,class,cluster,cluster_majority_class,cluster_mismatch,outlier_score,selected_frame_index,stability_score,pc1,pc2
53,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234548.csv,test,50ml,2,50ml,0,3.104221,9,24.535492,-4.355391,-6.788825
54,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234553.csv,train,50ml,2,50ml,0,3.102544,20,22.125601,-4.334896,-6.785100
55,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234533.csv,train,50ml,2,50ml,0,3.062600,2,23.210974,-4.159558,-6.558536
56,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234600.csv,train,50ml,2,50ml,0,3.018859,11,23.404881,-4.298224,-6.732075
57,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230632.csv,val,100ml,2,50ml,1,3.011946,3,23.852516,-3.657723,-5.625304
58,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234547.csv,train,50ml,2,50ml,0,2.973073,8,23.938257,-4.284491,-6.652196
59,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234549.csv,train,50ml,2,50ml,0,2.972029,18,23.078197,-4.285826,-6.689596
60,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232155.csv,test,15ml,0,50ml,1,2.952741,6,22.594860,13.216394,1.903956
61,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230631.csv,train,100ml,2,50ml,1,2.926704,7,23.384277,-3.642766,-5.494161
62,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232147.csv,val,15ml,0,50ml,1,2.917648,14,23.769278,13.062099,1.928059
63,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232149.csv,train,15ml,0,50ml,1,2.894603,15,22.230364,13.267284,2.022696
64,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232148.csv,train,15ml,0,50ml,1,2.873875,1,23.512178,13.146267,1.948056
65,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234555.csv,test,50ml,2,50ml,0,2.871380,10,22.967031,-4.351100,-6.739972
66,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232154.csv,val,15ml,0,50ml,1,2.858625,10,24.369574,13.189333,1.874525
67,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232139.csv,train,15ml,0,50ml,1,2.817314,5,22.760099,12.909365,1.947727
68,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235807.csv,test,200ml,0,50ml,1,2.815782,7,19.875202,11.869668,0.910879
69,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232143.csv,train,15ml,0,50ml,1,2.812977,7,22.659555,13.033531,2.033090
70,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232153.csv,val,15ml,0,50ml,1,2.809916,0,23.566563,13.235104,1.926953
71,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232136.csv,test,15ml,0,50ml,1,2.794877,15,23.174816,12.729075,1.949211
72,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232150.csv,train,15ml,0,50ml,1,2.783848,20,22.378761,13.164575,1.926301
73,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232144.csv,test,15ml,0,50ml,1,2.782660,15,23.097385,12.949014,1.908170
74,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232146.csv,val,15ml,0,50ml,1,2.779386,4,22.778528,13.040132,1.903403
75,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230630.csv,train,100ml,2,50ml,1,2.752095,12,23.337770,-3.656837,-5.342147
76,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232142.csv,test,15ml,0,50ml,1,2.717961,5,20.017450,13.031143,1.995627
77,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232211.csv,val,15ml,0,50ml,1,2.715145,15,23.391844,9.498834,-0.266606
78,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230629.csv,train,100ml,2,50ml,1,2.712297,14,23.146631,-3.560931,-5.445709
79,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232140.csv,train,15ml,0,50ml,1,2.711368,8,23.272821,12.927336,1.935737
80,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234535.csv,val,50ml,2,50ml,0,2.698252,5,23.035744,-4.220836,-6.557416
81,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232138.csv,val,15ml,0,50ml,1,2.697111,18,21.017132,12.823026,1.902793
82,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232205.csv,train,15ml,0,50ml,1,2.690329,0,23.954489,9.326383,-0.094098
83,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232134.csv,test,15ml,0,50ml,1,2.652579,18,22.060579,12.634913,1.973818
84,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232209.csv,train,15ml,0,50ml,1,2.630795,21,21.863998,9.470216,-0.310586
85,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230628.csv,train,100ml,2,50ml,1,2.597956,9,23.244490,-3.492180,-5.226139
86,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232212.csv,train,15ml,0,50ml,1,2.580736,11,22.606113,9.476621,-0.234541
87,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235806.csv,val,200ml,0,50ml,1,2.567680,8,20.679508,11.478641,0.904165
88,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232133.csv,train,15ml,0,50ml,1,2.566245,15,21.777092,12.473657,1.950515
89,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232207.csv,train,15ml,0,50ml,1,2.549474,4,21.830040,9.326167,-0.093300
90,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232131.csv,train,15ml,0,50ml,1,2.482113,14,22.579313,12.155493,1.806380
91,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232208.csv,train,15ml,0,50ml,1,2.474534,4,22.694382,9.406750,-0.279734
92,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232202.csv,train,15ml,0,50ml,1,2.406211,2,23.392155,9.146952,-0.271706
93,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232204.csv,test,15ml,0,50ml,1,2.343080,7,22.729206,9.323660,-0.208091
94,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230626.csv,test,100ml,2,50ml,1,2.270898,5,21.232143,-3.376789,-4.643219
95,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231015.csv,test,100ml,0,50ml,1,2.237656,12,22.963160,7.729665,2.655092
96,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232201.csv,train,15ml,0,50ml,1,2.219692,4,22.939894,9.072154,-0.225413
97,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230625.csv,test,100ml,2,50ml,1,2.173994,20,21.190290,-3.264983,-4.672104
98,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235125.csv,train,50ml,3,50ml,0,2.151916,12,23.349352,-2.755152,2.953564
99,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231006.csv,train,100ml,0,50ml,1,2.149733,17,23.584297,7.638499,2.708404
100,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231014.csv,val,100ml,0,50ml,1,2.148679,8,23.308231,7.714397,2.610768
101,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231011.csv,test,100ml,0,50ml,1,2.130306,8,22.921978,7.621278,2.500816
102,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231008.csv,train,100ml,0,50ml,1,2.119149,13,21.458633,7.755178,2.648785
103,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231016.csv,val,100ml,0,50ml,1,2.084826,3,23.548090,7.660413,2.593355
104,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231007.csv,train,100ml,0,50ml,1,2.081602,16,22.899630,7.697804,2.606158
105,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230624.csv,val,100ml,2,50ml,1,2.057091,17,23.667917,-3.213643,-4.456635
106,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231010.csv,test,100ml,0,50ml,1,2.036882,4,23.003248,7.609817,2.596879
107,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231013.csv,train,100ml,0,50ml,1,2.034052,20,21.400454,7.738104,2.652633
108,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235127.csv,train,50ml,3,50ml,0,2.025348,22,22.677912,-2.764807,2.894472
109,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_231012.csv,train,100ml,0,50ml,1,2.009822,5,21.932980,7.709572,2.558573
110,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230843.csv,train,100ml,1,15ml,1,2.003281,16,22.368649,-3.184977,-0.924984
111,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235124.csv,train,50ml,3,50ml,0,1.930689,13,23.197035,-2.747529,2.943285
112,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235130.csv,test,50ml,3,50ml,0,1.917439,12,23.954512,-2.827585,2.822680
113,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235129.csv,val,50ml,3,50ml,0,1.884521,6,20.891691,-2.883824,2.954504
114,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232130.csv,train,15ml,0,50ml,1,1.868420,2,19.747755,10.981537,1.842843
115,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235128.csv,train,50ml,3,50ml,0,1.860198,13,23.226763,-2.709382,2.912324
116,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235805.csv,test,200ml,0,50ml,1,1.799275,9,18.833881,10.296865,0.876347
117,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232125.csv,train,15ml,0,50ml,1,1.744815,4,22.520643,11.554534,2.090790
118,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235133.csv,train,50ml,3,50ml,0,1.606710,16,23.676886,-2.834762,2.977953
119,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232200.csv,train,15ml,0,50ml,1,1.577330,12,21.199936,8.377926,-0.099689
